event_name;Correctness;Task2;user_id;Group;DeviceOrder;VariantOrder;variant;device;TaskType
setting task;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
question dialog closed;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend opened;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend closed;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
answer button clicked;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
polygon selected;Correct;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
setting task;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
question dialog closed;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
zoom in;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend opened;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend closed;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend opened;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
show layer;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend closed;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
zoom in;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
answer button clicked;;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
polygon selected;Correct;Point1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
setting task;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
question dialog closed;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend opened;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend closed;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend opened;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
hide layer;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend closed;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
answer button clicked;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
polygon selected;Correct;Choropleth2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
setting task;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
question dialog closed;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend opened;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend closed;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
zoom in;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
popupopen:name;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
popupopen;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
answer button clicked;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
popupclose;;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
polygon selected;Correct;Point2;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
setting task;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
question dialog closed;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend opened;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend closed;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom out;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom out;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
answer button clicked;;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
polygon selected;Incorrect;Choropleth3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
setting task;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
question dialog closed;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
zoom in;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend opened;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
hide layer;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
legend closed;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
movestart;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
moveend;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
answer button clicked;;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
answer selected;Correct;Point3;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Point
setting task;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
question dialog closed;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend opened;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom out;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
show layer;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth4;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
