Participant;Category;Device;Order;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point4;Point4;Point4;Point4;Point4;Point4;Point4;Point4
;;;;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out
P11;02-Intermediate;Desktop;Desktop-Smartphone;;;;3;4;;3;;;;;6;3;;3;3;;;;;;;;;;;;9;;;;;;;5;;;;;;;5;1;;2;1;;;;5;1;;3;2;;;;1;;;1;;;;;1;2;;1;
P12;02-Intermediate;Desktop;Smartphone-Desktop;;;;2;7;;2;;;;;2;4;;4;;;;;1;9;;;;;;;7;;;;;;1;12;;;;;;;7;;;2;;;;;5;;;3;;;;;4;;;2;;;;;3;;;1;
P13;02-Intermediate;Desktop;Desktop-Smartphone;;1;1;;1;;;;1;;1;8;;1;3;2;;;;;1;;;;;1;;;14;;;;1;;;2;;;5;1;1;5;;;2;1;5;1;1;2;;;1;;6;;1;2;;;1;;7;;1;2;;1;1;
P14;02-Intermediate;Desktop;Smartphone-Desktop;;;1;4;4;;2;2;;;1;4;6;;4;;;;1;7;5;;2;1;;1;;23;10;;;;1;;1;6;;;5;;1;3;;;2;;5;;1;5;;;2;1;6;;1;1;;;1;;7;;1;1;;1;1;
P15;02-Intermediate;Desktop;Desktop-Smartphone;;1;1;11;4;;6;3;;;1;6;11;;2;1;;;;10;13;;3;2;;1;18;16;12;2;3;;1;4;16;7;;;5;1;1;9;;;3;1;6;;1;7;;;2;1;5;;1;6;;;1;;6;;1;7;;1;2;1
P16;02-Intermediate;Desktop;Smartphone-Desktop;;2;1;;4;;;;;;1;2;6;;2;;;1;2;3;10;;1;2;;1;;8;18;;;;1;;6;5;;;5;;1;3;;;2;1;5;;1;4;;;2;;5;;1;1;;;1;;6;;1;6;;;2;
P17;02-Intermediate;Desktop;Desktop-Smartphone;;;;1;1;;1;;;;;1;11;;1;;;;;1;7;;1;;;;;8;;;;;;;14;;;;;;;4;2;;3;;;;;7;;;2;;;;;2;;;1;;;;;1;;;1;
P18;02-Intermediate;Desktop;Smartphone-Desktop;;;1;4;2;;2;;;1;1;5;6;;2;;;1;1;11;4;;4;;;1;3;8;8;2;1;;1;2;3;2;1;1;5;;1;2;;;2;;5;;1;3;;;1;;5;;1;2;;;2;;4;;1;5;;;2;1
P19;02-Intermediate;Desktop;Desktop-Smartphone;;;1;;3;;;;;;1;2;;;2;;;;1;;5;;;;;1;;;18;;;;1;;;6;;;5;;1;3;;;2;1;5;;1;5;;;3;1;5;;1;1;;;1;;6;;1;3;;1;2;1
P22;02-Intermediate;Desktop;Smartphone-Desktop;;;1;1;3;;;;;;1;;4;;;;;;1;;11;;;;;1;;7;5;;;;1;1;18;4;;;;;;12;;;2;;;1;1;5;;;1;;;;;2;;;1;;;;;2;;;1;
P23;02-Intermediate;Desktop;Desktop-Smartphone;;;;;2;;;;;;;2;6;;;;;;;9;18;;2;2;1;1;14;64;;2;3;1;2;1;20;;;;;;;15;1;;5;3;;;;13;2;;3;2;;;;19;2;;3;2;;;;12;1;;2;1
P24;02-Intermediate;Desktop;Smartphone-Desktop;;;1;;;;;;;;1;;;;;;;;1;1;;;;;;1;2;;2;1;;;1;1;;7;;;6;;1;3;;;1;;5;;1;3;;;2;1;5;;1;;;;;;4;;1;1;;;1;
P25;02-Intermediate;Desktop;Desktop-Smartphone;;;;;3;;;;;;;;7;;;;;;;;32;;;;;;;6;;;;;;;8;;;;;;;1;;;1;;;;;5;;;4;1;;;;1;;;1;;;;;4;;;2;1
P27;02-Intermediate;Desktop;Desktop-Smartphone;;;;;5;;;;;;;1;6;;;;;;;;6;;;;;;;11;;;;;;;11;;;;6;;1;9;2;1;5;4;5;;1;6;;;4;3;5;;1;9;;;4;2;8;;1;2;;2;1;1
P28;02-Intermediate;Desktop;Smartphone-Desktop;;;1;;2;;;;2;;1;2;4;1;2;;;;3;;17;;;;1;3;;7;6;;;;1;;26;5;;;5;;1;3;;;2;;5;;1;7;;;5;1;5;;1;1;;;1;;6;;1;;;1;;
P29;02-Intermediate;Desktop;Desktop-Smartphone;;;;3;1;;3;;;;1;1;;;1;;;;1;;;;;;;1;;;8;;;;1;;;9;;;;;;14;;;7;3;;;;9;;;5;2;;;;7;;;2;;;;;2;;;1;
P01;03-Advanced;Desktop;Smartphone-Desktop;;;;;2;;;;;1;1;3;2;;2;;;2;1;3;9;;1;;1;1;1;9;4;;;;1;;3;2;;;5;1;1;1;;;1;;5;1;1;2;;;1;;6;1;1;;;;;;7;2;3;;;1;;
P02;03-Advanced;Desktop;Smartphone-Desktop;;;;1;4;;1;;;;;3;6;;3;1;;;;2;6;;1;1;;;;7;;;;;;;7;;;;;;;1;;;1;;;;;3;;;2;1;;;;1;;;1;;;;;1;;;1;
P03;03-Advanced;Desktop;Desktop-Smartphone;;1;1;;3;;;;;;1;;3;;;;;;1;4;23;;2;1;;1;;11;;;;;1;;8;5;;;5;1;1;2;1;;3;;6;;1;8;;1;4;2;5;;1;3;;;2;1;9;;1;;;3;;
P04;03-Advanced;Desktop;Smartphone-Desktop;;1;2;1;4;;1;;2;;1;8;6;2;2;1;;;1;5;6;;3;2;;1;;15;2;;;;2;;13;2;;;5;;1;3;;;2;1;5;;1;7;;;2;1;5;;1;1;;;1;;6;;1;1;;1;1;
P05;03-Advanced;Desktop;Desktop-Smartphone;;;1;4;4;;2;;;;1;2;6;;2;;;;1;7;6;;2;1;;1;9;7;11;4;2;;1;;;4;;;;;1;17;;;6;4;;;1;23;;;7;4;;;1;12;;;3;2;;;1;23;;;4;2
